Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-13,421.0,429.29998779296875,418.8999938964844,424.79998779296875,6969434,0,0
2017-10-16,426.29998779296875,438.0,425.8500061035156,437.04998779296875,8476709,0,0
2017-10-17,435.75,435.75,430.20001220703125,432.29998779296875,5135763,0,0
2017-10-18,432.25,437.29998779296875,426.6000061035156,433.20001220703125,5539785,0,0
2017-10-19,433.0,433.1000061035156,424.25,426.95001220703125,1313380,0,0
2017-10-23,429.1000061035156,430.8500061035156,421.0,422.75,4013418,0,0
2017-10-24,422.75,423.79998779296875,415.04998779296875,416.04998779296875,4541742,0,0
2017-10-25,421.0,424.3999938964844,415.1000061035156,421.95001220703125,5666968,0,0
2017-10-26,421.70001220703125,422.3999938964844,417.0,419.3999938964844,6207936,0,0
2017-10-27,422.04998779296875,434.3500061035156,422.04998779296875,429.8999938964844,7414741,0,0
2017-10-30,428.25,440.95001220703125,428.25,436.54998779296875,7675104,0,0
2017-10-31,438.8500061035156,438.8500061035156,427.29998779296875,428.3999938964844,6214996,0,0
2017-11-01,430.95001220703125,439.95001220703125,428.45001220703125,437.75,7310931,0,0
2017-11-02,435.70001220703125,440.3999938964844,429.8999938964844,434.8999938964844,8262211,0,0
2017-11-03,434.0,449.3500061035156,432.6499938964844,447.70001220703125,8116263,0,0
2017-11-06,445.75,468.0,443.54998779296875,462.8999938964844,19456789,0,0
2017-11-07,458.20001220703125,465.8999938964844,450.04998779296875,451.8500061035156,13266543,0,0
2017-11-08,448.0,455.0,431.29998779296875,438.20001220703125,11193613,0,0
2017-11-09,442.1000061035156,450.8999938964844,425.6499938964844,440.1499938964844,40547266,0,0
2017-11-10,438.95001220703125,438.95001220703125,420.0,422.54998779296875,22534490,0,0
2017-11-13,423.0,427.5,416.1000061035156,418.1000061035156,9857544,0,0
2017-11-14,418.54998779296875,421.8500061035156,410.6499938964844,414.29998779296875,8987515,0,0
2017-11-15,414.29998779296875,417.54998779296875,407.0,408.6499938964844,9867270,0,0
2017-11-16,411.3500061035156,415.8999938964844,411.3500061035156,413.45001220703125,6291441,0,0
2017-11-17,419.45001220703125,423.45001220703125,417.0,421.79998779296875,6191428,0,0
2017-11-20,421.0,425.70001220703125,420.1000061035156,423.0,4051153,0,0
2017-11-21,424.45001220703125,430.0,422.5,424.25,6745407,0,0
2017-11-22,425.45001220703125,433.0,424.5,428.6000061035156,7899417,0,0
2017-11-23,428.6000061035156,431.04998779296875,422.45001220703125,426.25,7374216,0,0
2017-11-24,427.0,429.95001220703125,424.25,425.5,5108182,0,0
2017-11-27,423.0,424.75,417.79998779296875,421.3999938964844,7946028,0,0
2017-11-28,419.79998779296875,422.25,414.5,415.95001220703125,6217480,0,0
2017-11-29,415.8999938964844,419.45001220703125,412.04998779296875,413.95001220703125,4327453,0,0
2017-11-30,410.3999938964844,412.25,402.25,404.1499938964844,25646262,0,0
2017-12-01,407.8999938964844,410.25,396.5,398.8999938964844,7959197,0,0
2017-12-04,405.79998779296875,411.25,401.70001220703125,403.6499938964844,10043491,0,0
2017-12-05,404.54998779296875,405.5,396.54998779296875,402.25,7144542,0,0
2017-12-06,400.20001220703125,404.0,395.0,397.04998779296875,5573968,0,0
2017-12-07,398.0,405.29998779296875,397.1499938964844,402.0,7998863,0,0
2017-12-08,406.0,413.75,406.0,411.1499938964844,12288946,0,0
2017-12-11,412.0,415.20001220703125,409.04998779296875,410.1499938964844,5066242,0,0
2017-12-12,411.54998779296875,415.5,405.95001220703125,406.8500061035156,6151197,0,0
2017-12-13,407.0,409.8500061035156,400.0,401.95001220703125,5140689,0,0
2017-12-14,404.0,404.54998779296875,398.20001220703125,402.3999938964844,4674026,0,0
2017-12-15,406.5,409.0,404.20001220703125,405.1000061035156,5614113,0,0
2017-12-18,399.0,409.8999938964844,389.29998779296875,405.79998779296875,5356208,0,0
2017-12-19,407.3500061035156,421.70001220703125,407.3500061035156,420.1000061035156,9686883,0,0
2017-12-20,421.95001220703125,427.75,419.25,422.6000061035156,11191127,0,0
2017-12-21,424.0,426.04998779296875,419.54998779296875,420.79998779296875,4885225,0,0
2017-12-22,422.04998779296875,426.3999938964844,420.8999938964844,422.0,5345261,0,0
